Instance,UB,ObjValue,ExecutionTime,GAP,nxm
VFR100_20_10_Gap,6145,7406,4.122830153,20.52074858,100x20
VFR100_20_1_Gap,6198,7452,3.922451973,20.23233301,100x20
VFR100_20_2_Gap,6306,7565,4.062921047,19.96511259,100x20
VFR100_20_3_Gap,6238,7455,3.989415884,19.50945816,100x20
VFR100_20_4_Gap,6245,7433,4.36370492,19.02321857,100x20
VFR100_20_5_Gap,6296,7572,4.358118773,20.26683609,100x20
VFR100_20_6_Gap,6321,7565,4.093546867,19.68043031,100x20
VFR100_20_7_Gap,6434,7651,4.040686846,18.91513833,100x20
VFR100_20_8_Gap,6104,7358,3.958578825,20.54390564,100x20
VFR100_20_9_Gap,6354,7567,4.049061775,19.0903368,100x20
VFR100_40_10_Gap,7952,9362,7.574912071,17.73138833,100x40
VFR100_40_1_Gap,7881,9326,7.981929302,18.33523665,100x40
VFR100_40_2_Gap,8007,9493,7.971482038,18.55876108,100x40
VFR100_40_3_Gap,7935,9352,8.222572088,17.85759294,100x40
VFR100_40_4_Gap,7932,9368,7.789495945,18.10388301,100x40
VFR100_40_5_Gap,8011,9528,7.674129963,18.93646236,100x40
VFR100_40_6_Gap,8023,9378,7.572236061,16.88894429,100x40
VFR100_40_7_Gap,8006,9451,7.583482981,18.04896328,100x40
VFR100_40_8_Gap,7979,9397,8.346966982,17.77165058,100x40
VFR100_40_9_Gap,7931,9413,7.868366003,18.6861682,100x40
VFR100_60_10_Gap,9598,11068,11.93104696,15.31569077,100x60
VFR100_60_1_Gap,9395,10896,11.55733395,15.97658329,100x60
VFR100_60_2_Gap,9596,11135,11.37596202,16.03793247,100x60
VFR100_60_3_Gap,9349,11004,11.36613989,17.70242807,100x60
VFR100_60_4_Gap,9426,11055,11.21897197,17.281986,100x60
VFR100_60_5_Gap,9465,10964,11.14125514,15.8372953,100x60
VFR100_60_6_Gap,9667,11164,11.3920033,15.48567291,100x60
VFR100_60_7_Gap,9391,10946,11.09389591,16.55840699,100x60
VFR100_60_8_Gap,9534,11115,11.99274778,16.58275645,100x60
VFR100_60_9_Gap,9527,11019,11.58859515,15.66075365,100x60
VFR200_20_10_Gap,11310,13267,8.415154934,17.30327144,200x20
VFR200_20_1_Gap,11305,13337,8.16072011,17.97434763,200x20
VFR200_20_2_Gap,11265,13216,8.151755095,17.31913005,200x20
VFR200_20_3_Gap,11327,13262,8.223428965,17.08307584,200x20
VFR200_20_4_Gap,11208,13157,8.464277983,17.38936474,200x20
VFR200_20_5_Gap,11208,13026,8.628098011,16.22055675,200x20
VFR200_20_6_Gap,11367,13392,8.174259901,17.81472684,200x20
VFR200_20_7_Gap,11380,13433,8.501243114,18.04042179,200x20
VFR200_20_8_Gap,11141,12917,8.154873133,15.94111839,200x20
VFR200_20_9_Gap,11123,13140,8.139655828,18.13359705,200x20
VFR200_40_10_Gap,13228,15462,16.3540709,16.88841851,200x40
VFR200_40_1_Gap,13132,15538,15.69362712,18.32165702,200x40
VFR200_40_2_Gap,13102,15632,16.12439871,19.310029,200x40
VFR200_40_3_Gap,13264,15620,16.17972589,17.76236429,200x40
VFR200_40_4_Gap,13232,15615,15.86840391,18.00937122,200x40
VFR200_40_5_Gap,13043,15480,16.07705593,18.68435176,200x40
VFR200_40_6_Gap,13124,15429,16.13399601,17.56324291,200x40
VFR200_40_7_Gap,13299,15685,16.18022704,17.94119859,200x40
VFR200_40_8_Gap,13238,15373,16.40810394,16.12781387,200x40
VFR200_40_9_Gap,13166,15469,16.4600389,17.49202491,200x40
VFR200_60_10_Gap,15000,17508,22.56045508,16.72,200x60
VFR200_60_1_Gap,14990,17635,23.21192598,17.64509673,200x60
VFR200_60_2_Gap,14954,17543,23.1428051,17.31309349,200x60
VFR200_60_3_Gap,15200,17647,23.14513302,16.09868421,200x60
VFR200_60_4_Gap,15044,17618,22.48572087,17.10981122,200x60
VFR200_60_5_Gap,15130,17578,22.02497602,16.17977528,200x60
VFR200_60_6_Gap,15035,17674,22.61867905,17.55237779,200x60
VFR200_60_7_Gap,15040,17623,22.46319604,17.17420213,200x60
VFR200_60_8_Gap,14968,17659,22.61342096,17.97835382,200x60
VFR200_60_9_Gap,15022,17429,23.741364,16.02316602,200x60
VFR300_20_10_Gap,16899,19056,12.70533204,12.76406888,300x20
VFR300_20_1_Gap,16149,18601,12.85199404,15.1836027,300x20
VFR300_20_2_Gap,16512,18796,12.64464211,13.83236434,300x20
VFR300_20_3_Gap,16173,18806,13.39784813,16.28022012,300x20
VFR300_20_4_Gap,16181,18635,12.63703704,15.16593536,300x20
VFR300_20_5_Gap,16342,18923,12.99481893,15.79366051,300x20
VFR300_20_6_Gap,16137,18881,12.64276195,17.00439983,300x20
VFR300_20_7_Gap,16266,18727,12.73061299,15.12971843,300x20
VFR300_20_8_Gap,16416,18857,12.16411495,14.86963938,300x20
VFR300_20_9_Gap,16376,18834,12.52375579,15.0097704,300x20
VFR300_40_10_Gap,18401,21382,24.14379787,16.20020651,300x40
VFR300_40_1_Gap,18298,21554,25.05534101,17.79429446,300x40
VFR300_40_2_Gap,18454,21687,24.13688612,17.51923702,300x40
VFR300_40_3_Gap,18457,21587,23.41515493,16.95833559,300x40
VFR300_40_4_Gap,18351,21527,23.60865903,17.30695875,300x40
VFR300_40_5_Gap,18484,21650,24.0731802,17.1283272,300x40
VFR300_40_6_Gap,18449,21312,24.07465696,15.51845628,300x40
VFR300_40_7_Gap,18419,21614,24.05000401,17.34621858,300x40
VFR300_40_8_Gap,18392,21539,25.18261719,17.1107003,300x40
VFR300_40_9_Gap,18394,21345,24.43407083,16.04327498,300x40
VFR300_60_10_Gap,20472,23709,35.73316097,15.81184056,300x60
VFR300_60_1_Gap,20522,23722,35.08060384,15.59302212,300x60
VFR300_60_2_Gap,20399,23694,36.87610221,16.15275259,300x60
VFR300_60_3_Gap,20434,23800,35.84178805,16.47254576,300x60
VFR300_60_4_Gap,20395,23798,34.92328978,16.68546212,300x60
VFR300_60_5_Gap,20341,23550,35.79946113,15.77601888,300x60
VFR300_60_6_Gap,20388,23642,35.75747585,15.96036884,300x60
VFR300_60_7_Gap,20457,23559,35.16034698,15.16351371,300x60
VFR300_60_8_Gap,20410,23686,35.84158635,16.05095541,300x60
VFR300_60_9_Gap,20549,23787,35.81383204,15.75745778,300x60
VFR400_20_10_Gap,21538,24386,17.35339713,13.2231405,400x20
VFR400_20_1_Gap,21120,24177,16.61034489,14.47443182,400x20
VFR400_20_2_Gap,21457,24485,16.99765587,14.11194482,400x20
VFR400_20_3_Gap,21441,24304,16.87468863,13.35292197,400x20
VFR400_20_4_Gap,21247,24204,18.1198802,13.91725891,400x20
VFR400_20_5_Gap,21553,24361,17.52092385,13.02834872,400x20
VFR400_20_6_Gap,21214,24367,16.79496002,14.86282644,400x20
VFR400_20_7_Gap,21625,24463,16.87635112,13.12369942,400x20
VFR400_20_8_Gap,21277,24295,16.88195896,14.1843305,400x20
VFR400_20_9_Gap,21346,24319,16.8407979,13.92766795,400x20
VFR400_40_10_Gap,23720,27467,31.63831019,15.79679595,400x40
VFR400_40_1_Gap,23578,27414,33.59826612,16.26940368,400x40
VFR400_40_2_Gap,23456,27136,32.1081748,15.68894952,400x40
VFR400_40_3_Gap,23575,27273,32.10167694,15.68610817,400x40
VFR400_40_4_Gap,23409,27395,31.94067788,17.02763894,400x40
VFR400_40_5_Gap,23339,27008,32.35108685,15.72046789,400x40
VFR400_40_6_Gap,23444,27229,31.72579408,16.14485583,400x40
VFR400_40_7_Gap,23556,27117,32.11048102,15.1171676,400x40
VFR400_40_8_Gap,23411,27199,32.2285831,16.180428,400x40
VFR400_40_9_Gap,23637,27274,32.24280286,15.38689343,400x40
VFR400_60_10_Gap,25767,29776,47.84794593,15.5586603,400x60
VFR400_60_1_Gap,25607,29542,47.27311516,15.36689187,400x60
VFR400_60_2_Gap,25656,29672,49.34448266,15.6532585,400x60
VFR400_60_3_Gap,25821,29756,46.83747721,15.23953371,400x60
VFR400_60_4_Gap,25837,29835,46.54256582,15.47393273,400x60
VFR400_60_5_Gap,25877,29668,46.53789186,14.65007536,400x60
VFR400_60_6_Gap,25536,29575,47.59726501,15.81688596,400x60
VFR400_60_7_Gap,25600,29632,46.80170202,15.75,400x60
VFR400_60_8_Gap,25800,29791,46.56938481,15.46899225,400x60
VFR400_60_9_Gap,25882,29633,47.11680222,14.49269763,400x60
