Instance,UB,ObjValue,ExecutionTime,GAP,nxm
VFR800_20_10_Gap,41574,45848,35.6822629,10.28046375,800x20
VFR800_20_1_Gap,41558,45749,34.91522598,10.0847009,800x20
VFR800_20_2_Gap,41407,45834,34.24253416,10.69142899,800x20
VFR800_20_3_Gap,41425,45922,34.98126006,10.85576343,800x20
VFR800_20_4_Gap,41426,45902,34.94605899,10.80480857,800x20
VFR800_20_5_Gap,41710,46044,33.81662893,10.39079357,800x20
VFR800_20_6_Gap,42010,46123,35.51359701,9.790526065,800x20
VFR800_20_7_Gap,41425,45546,36.48802304,9.948098974,800x20
VFR800_20_8_Gap,41492,45398,33.82421613,9.413862913,800x20
VFR800_20_9_Gap,41796,45594,35.02139711,9.086993971,800x20
VFR800_40_10_Gap,43861,49765,67.96033812,13.46070541,800x40
VFR800_40_1_Gap,43671,49512,68.00321794,13.37500859,800x40
VFR800_40_2_Gap,43746,49535,71.40525198,13.23320989,800x40
VFR800_40_3_Gap,43749,49733,69.15650487,13.67802693,800x40
VFR800_40_4_Gap,43892,49522,68.30087686,12.82693885,800x40
VFR800_40_5_Gap,43905,49613,68.69545984,13.00079718,800x40
VFR800_40_6_Gap,43811,49752,68.43556499,13.56052133,800x40
VFR800_40_7_Gap,43766,49686,69.1978929,13.52648174,800x40
VFR800_40_8_Gap,43839,49637,68.78626513,13.22566664,800x40
VFR800_40_9_Gap,43879,49744,68.89411092,13.36630279,800x40
VFR800_60_10_Gap,46244,52653,101.6120284,13.85909523,800x60
VFR800_60_1_Gap,46470,52850,97.89955306,13.72928771,800x60
VFR800_60_2_Gap,46493,53068,96.9858222,14.14191384,800x60
VFR800_60_3_Gap,46389,52693,98.18951511,13.58942853,800x60
VFR800_60_4_Gap,46457,52919,97.34786272,13.90963687,800x60
VFR800_60_5_Gap,46401,52799,98.86916995,13.78849594,800x60
VFR800_60_6_Gap,46421,52947,98.66974902,14.05829258,800x60
VFR800_60_7_Gap,46319,52759,98.73620296,13.90358168,800x60
VFR800_60_8_Gap,46474,52907,104.781734,13.8421483,800x60
VFR800_60_9_Gap,46538,53050,101.711664,13.99286604,800x60
