Instance,UB,ObjValue,ExecutionTime,GAP,nxm
VFR10_10_10_Gap,1099,1116,1.065085173,1.546860783,10x10
VFR10_10_1_Gap,1097,1128,1.051951885,2.825888788,10x10
VFR10_10_2_Gap,1146,1146,1.049240828,0,10x10
VFR10_10_3_Gap,1124,1131,1.075355053,0.622775801,10x10
VFR10_10_4_Gap,1038,1056,1.040908098,1.734104046,10x10
VFR10_10_5_Gap,1093,1120,1.125843287,2.470265325,10x10
VFR10_10_6_Gap,1085,1091,1.077018261,0.552995392,10x10
VFR10_10_7_Gap,1115,1150,1.052909136,3.139013453,10x10
VFR10_10_8_Gap,1113,1132,1.031201124,1.707097934,10x10
VFR10_10_9_Gap,1045,1086,1.107965231,3.923444976,10x10
VFR10_15_10_Gap,1461,1485,1.205690145,1.642710472,10x15
VFR10_15_1_Gap,1307,1346,1.165477991,2.98393267,10x15
VFR10_15_2_Gap,1399,1443,1.226869822,3.145103645,10x15
VFR10_15_3_Gap,1398,1452,1.238383055,3.862660944,10x15
VFR10_15_4_Gap,1452,1501,1.227079391,3.374655647,10x15
VFR10_15_5_Gap,1373,1448,1.186125994,5.462490896,10x15
VFR10_15_6_Gap,1329,1379,1.190073013,3.762227239,10x15
VFR10_15_7_Gap,1445,1457,1.173858166,0.830449827,10x15
VFR10_15_8_Gap,1443,1493,1.18078208,3.465003465,10x15
VFR10_15_9_Gap,1428,1446,1.242944002,1.260504202,10x15
VFR10_20_10_Gap,1663,1672,1.150982857,0.541190619,10x20
VFR10_20_1_Gap,1652,1735,1.144309044,5.024213075,10x20
VFR10_20_2_Gap,1759,1810,1.172996044,2.899374645,10x20
VFR10_20_3_Gap,1726,1803,1.125121832,4.461181924,10x20
VFR10_20_4_Gap,1678,1730,1.150343895,3.098927294,10x20
VFR10_20_5_Gap,1700,1765,1.209890842,3.823529412,10x20
VFR10_20_6_Gap,1889,1918,1.207086802,1.535203812,10x20
VFR10_20_7_Gap,1678,1747,1.190316916,4.112038141,10x20
VFR10_20_8_Gap,1655,1708,1.134469032,3.202416918,10x20
VFR10_20_9_Gap,1706,1789,1.167191029,4.865181712,10x20
VFR10_5_10_Gap,664,664,1.05167985,0,10x5
VFR10_5_1_Gap,695,695,1.022712708,0,10x5
VFR10_5_2_Gap,698,711,1.119843006,1.862464183,10x5
VFR10_5_3_Gap,728,731,1.070939064,0.412087912,10x5
VFR10_5_4_Gap,697,709,1.117790222,1.721664275,10x5
VFR10_5_5_Gap,713,722,1.103688002,1.26227209,10x5
VFR10_5_6_Gap,748,748,1.057332993,0,10x5
VFR10_5_7_Gap,728,729,1.122807026,0.137362637,10x5
VFR10_5_8_Gap,683,690,1.126796007,1.02489019,10x5
VFR10_5_9_Gap,761,793,1.058687925,4.20499343,10x5
VFR20_10_10_Gap,1489,1676,1.198092937,12.55876427,20x10
VFR20_10_1_Gap,1532,1711,1.264280081,11.68407311,20x10
VFR20_10_2_Gap,1525,1685,1.198966026,10.49180328,20x10
VFR20_10_3_Gap,1592,1766,1.260896921,10.92964824,20x10
VFR20_10_4_Gap,1442,1620,1.2021029,12.34396671,20x10
VFR20_10_5_Gap,1604,1831,1.281061888,14.1521197,20x10
VFR20_10_6_Gap,1576,1769,1.301544905,12.24619289,20x10
VFR20_10_7_Gap,1591,1738,1.288401127,9.23947203,20x10
VFR20_10_8_Gap,1574,1710,1.150691032,8.640406607,20x10
VFR20_10_9_Gap,1530,1729,1.198539734,13.00653595,20x10
VFR20_15_10_Gap,1861,2139,1.129808903,14.93820527,20x15
VFR20_15_1_Gap,1936,2199,1.217730045,13.58471074,20x15
VFR20_15_2_Gap,1905,2101,1.22380805,10.28871391,20x15
VFR20_15_3_Gap,1798,1991,1.222239971,10.73414905,20x15
VFR20_15_4_Gap,1813,2042,1.131699085,12.63099835,20x15
VFR20_15_5_Gap,1875,2152,1.133765936,14.77333333,20x15
VFR20_15_6_Gap,1960,2183,1.22063303,11.37755102,20x15
VFR20_15_7_Gap,1933,2097,1.124309063,8.484221417,20x15
VFR20_15_8_Gap,1822,2053,1.265491962,12.67837541,20x15
VFR20_15_9_Gap,1940,2140,1.207614183,10.30927835,20x15
VFR20_20_10_Gap,2199,2438,1.544126034,10.86857663,20x20
VFR20_20_1_Gap,2270,2515,1.56320405,10.79295154,20x20
VFR20_20_2_Gap,2170,2410,1.611839056,11.05990783,20x20
VFR20_20_3_Gap,2277,2503,1.590523005,9.92534036,20x20
VFR20_20_4_Gap,2165,2405,1.499791145,11.08545035,20x20
