Instance,UB,ObjValue,ExecutionTime,GAP,nxm
VFR20_20_5_Gap,2225,2548,1.499592066,14.51685393,20x20
VFR20_20_6_Gap,2291,2544,1.487492085,11.04321257,20x20
VFR20_20_7_Gap,2282,2559,1.519606113,12.13847502,20x20
VFR20_20_8_Gap,2178,2457,1.552017927,12.80991736,20x20
VFR20_20_9_Gap,2354,2584,1.64082098,9.770603229,20x20
VFR20_5_10_Gap,1243,1344,1.151910782,8.125502816,20x5
VFR20_5_1_Gap,1192,1265,1.211791039,6.124161074,20x5
VFR20_5_2_Gap,1275,1351,1.170809984,5.960784314,20x5
VFR20_5_3_Gap,1323,1389,1.070063829,4.988662132,20x5
VFR20_5_4_Gap,1127,1214,1.107218027,7.719609583,20x5
VFR20_5_5_Gap,1339,1421,1.048135996,6.123973114,20x5
VFR20_5_6_Gap,1066,1161,1.132029295,8.911819887,20x5
VFR20_5_7_Gap,1154,1225,1.086225033,6.152512998,20x5
VFR20_5_8_Gap,1102,1207,1.169821024,9.528130672,20x5
VFR20_5_9_Gap,1317,1367,1.088242054,3.796507213,20x5
VFR30_10_10_Gap,1915,2248,1.178135633,17.38903394,30x10
VFR30_10_1_Gap,1944,2291,1.310299158,17.84979424,30x10
VFR30_10_2_Gap,2098,2404,1.221045017,14.58531935,30x10
VFR30_10_3_Gap,2077,2357,1.224285841,13.48098219,30x10
VFR30_10_4_Gap,1945,2334,1.216283798,20,30x10
VFR30_10_5_Gap,2023,2396,1.182006121,18.43796342,30x10
VFR30_10_6_Gap,2043,2350,1.244121075,15.02692119,30x10
VFR30_10_7_Gap,1967,2295,1.189815998,16.67513981,30x10
VFR30_10_8_Gap,1896,2183,1.28540802,15.1371308,30x10
VFR30_10_9_Gap,1908,2206,1.289080143,15.61844864,30x10
VFR30_15_10_Gap,2385,2709,1.694639206,13.58490566,30x15
VFR30_15_1_Gap,2381,2744,1.949764729,15.24569509,30x15
VFR30_15_2_Gap,2318,2723,1.714660168,17.47195858,30x15
VFR30_15_3_Gap,2304,2708,1.823605061,17.53472222,30x15
VFR30_15_4_Gap,2444,2869,1.878064156,17.38952537,30x15
VFR30_15_5_Gap,2423,2800,1.786713839,15.5592241,30x15
VFR30_15_6_Gap,2306,2736,1.825180769,18.64700781,30x15
VFR30_15_7_Gap,2316,2722,1.787962914,17.53022453,30x15
VFR30_15_8_Gap,2366,2841,1.735781193,20.07607777,30x15
VFR30_15_9_Gap,2259,2629,1.707187891,16.37892873,30x15
VFR30_20_10_Gap,2805,3246,1.103771925,15.72192513,30x20
VFR30_20_1_Gap,2643,3075,1.238060951,16.34506243,30x20
VFR30_20_2_Gap,2835,3151,1.112681866,11.14638448,30x20
VFR30_20_3_Gap,2783,3291,1.115715265,18.25368308,30x20
VFR30_20_4_Gap,2680,3054,1.152883053,13.95522388,30x20
VFR30_20_5_Gap,2672,3087,1.176197052,15.53143713,30x20
VFR30_20_6_Gap,2715,3118,1.189635992,14.84346225,30x20
VFR30_20_7_Gap,2712,3134,1.203691959,15.56047198,30x20
VFR30_20_8_Gap,2812,3184,1.114895105,13.22901849,30x20
VFR30_20_9_Gap,2795,3292,1.118962049,17.78175313,30x20
VFR30_5_10_Gap,1637,1773,1.274389029,8.307880269,30x5
VFR30_5_1_Gap,1805,1897,1.042351961,5.096952909,30x5
VFR30_5_2_Gap,1575,1692,1.35488081,7.428571429,30x5
VFR30_5_3_Gap,1673,1825,1.322285891,9.085475194,30x5
VFR30_5_4_Gap,1781,1869,1.257099628,4.941044357,30x5
VFR30_5_5_Gap,1707,1794,1.276570797,5.096660808,30x5
VFR30_5_6_Gap,1875,1934,1.284168959,3.146666667,30x5
VFR30_5_7_Gap,1749,1811,1.264830828,3.54488279,30x5
VFR30_5_8_Gap,1706,1853,1.051668882,8.616647128,30x5
VFR30_5_9_Gap,1735,1842,1.014114857,6.167146974,30x5
