Instance,UB,ObjValue,ExecutionTime,GAP,Group
VFR200_60_4_Gap,15044,17618,22.48572087,17.10981122,Large
VFR200_60_5_Gap,15130,17578,22.02497602,16.17977528,Large
VFR200_60_6_Gap,15035,17674,22.61867905,17.55237779,Large
VFR200_60_7_Gap,15040,17623,22.46319604,17.17420213,Large
VFR200_60_8_Gap,14968,17659,22.61342096,17.97835382,Large
VFR200_60_9_Gap,15022,17429,23.741364,16.02316602,Large
VFR20_10_10_Gap,1489,1676,1.198092937,12.55876427,Small
VFR20_10_1_Gap,1532,1711,1.264280081,11.68407311,Small
VFR20_10_2_Gap,1525,1685,1.198966026,10.49180328,Small
VFR20_10_3_Gap,1592,1766,1.260896921,10.92964824,Small
VFR20_10_4_Gap,1442,1620,1.2021029,12.34396671,Small
VFR20_10_5_Gap,1604,1831,1.281061888,14.1521197,Small
VFR20_10_6_Gap,1576,1769,1.301544905,12.24619289,Small
VFR20_10_7_Gap,1591,1738,1.288401127,9.23947203,Small
VFR20_10_8_Gap,1574,1710,1.150691032,8.640406607,Small
VFR20_10_9_Gap,1530,1729,1.198539734,13.00653595,Small
VFR20_15_10_Gap,1861,2139,1.129808903,14.93820527,Small
VFR20_15_1_Gap,1936,2199,1.217730045,13.58471074,Small
VFR20_15_2_Gap,1905,2101,1.22380805,10.28871391,Small
VFR20_15_3_Gap,1798,1991,1.222239971,10.73414905,Small
VFR20_15_4_Gap,1813,2042,1.131699085,12.63099835,Small
VFR20_15_5_Gap,1875,2152,1.133765936,14.77333333,Small
VFR20_15_6_Gap,1960,2183,1.22063303,11.37755102,Small
VFR20_15_7_Gap,1933,2097,1.124309063,8.484221417,Small
VFR20_15_8_Gap,1822,2053,1.265491962,12.67837541,Small
VFR20_15_9_Gap,1940,2140,1.207614183,10.30927835,Small
VFR20_20_10_Gap,2199,2438,1.544126034,10.86857663,Small
VFR20_20_1_Gap,2270,2515,1.56320405,10.79295154,Small
VFR20_20_2_Gap,2170,2410,1.611839056,11.05990783,Small
VFR20_20_3_Gap,2277,2503,1.590523005,9.92534036,Small
VFR20_20_4_Gap,2165,2405,1.499791145,11.08545035,Small
VFR20_20_5_Gap,2225,2548,1.499592066,14.51685393,Small
VFR20_20_6_Gap,2291,2544,1.487492085,11.04321257,Small
VFR20_20_7_Gap,2282,2559,1.519606113,12.13847502,Small
VFR20_20_8_Gap,2178,2457,1.552017927,12.80991736,Small
VFR20_20_9_Gap,2354,2584,1.64082098,9.770603229,Small
VFR20_5_10_Gap,1243,1344,1.151910782,8.125502816,Small
VFR20_5_1_Gap,1192,1265,1.211791039,6.124161074,Small
VFR20_5_2_Gap,1275,1351,1.170809984,5.960784314,Small
VFR20_5_3_Gap,1323,1389,1.070063829,4.988662132,Small
VFR20_5_4_Gap,1127,1214,1.107218027,7.719609583,Small
VFR20_5_5_Gap,1339,1421,1.048135996,6.123973114,Small
VFR20_5_6_Gap,1066,1161,1.132029295,8.911819887,Small
VFR20_5_7_Gap,1154,1225,1.086225033,6.152512998,Small
VFR20_5_8_Gap,1102,1207,1.169821024,9.528130672,Small
