Instance,UB,ObjValue,ExecutionTime,GAP,Group
VFR60_20_9_Gap,4221,5089,2.442882061,20.56384743,Small
VFR60_5_10_Gap,3663,3709,1.24917388,1.255801256,Small
VFR60_5_1_Gap,3350,3553,1.277118206,6.059701493,Small
VFR60_5_2_Gap,3054,3324,1.326332092,8.84086444,Small
VFR60_5_3_Gap,3214,3415,1.335062981,6.253889235,Small
VFR60_5_4_Gap,3266,3555,1.288317919,8.848744642,Small
VFR60_5_5_Gap,3197,3436,1.305171967,7.475758524,Small
VFR60_5_6_Gap,3107,3316,1.332597017,6.726746057,Small
VFR60_5_7_Gap,3315,3539,1.294468164,6.757164404,Small
VFR60_5_8_Gap,3438,3624,1.289119959,5.410122164,Small
VFR60_5_9_Gap,3121,3304,1.342817783,5.863505287,Small
VFR700_20_10_Gap,36417,40330,29.85540891,10.74498174,Large
VFR700_20_1_Gap,36394,40363,30.66767311,10.90564379,Large
VFR700_20_2_Gap,36337,40505,30.83336997,11.47040207,Large
VFR700_20_3_Gap,36568,40445,30.21256995,10.60216583,Large
VFR700_20_4_Gap,36452,40471,30.46339202,11.02545814,Large
VFR700_20_5_Gap,36584,40797,29.84020925,11.51596326,Large
VFR700_20_6_Gap,36671,40851,31.06926894,11.39865289,Large
VFR700_20_7_Gap,36624,40455,30.50984287,10.46035387,Large
VFR700_20_8_Gap,36522,40834,30.17448807,11.80658233,Large
VFR700_20_9_Gap,36329,40292,30.53471208,10.90864048,Large
VFR700_40_10_Gap,38850,44380,58.20500708,14.23423423,Large
VFR700_40_1_Gap,38964,44273,58.67776823,13.6253978,Large
VFR700_40_2_Gap,38775,44199,60.62065291,13.98839458,Large
VFR700_40_3_Gap,38621,43907,58.80662298,13.6868543,Large
VFR700_40_4_Gap,38785,44118,58.55685401,13.75016114,Large
VFR700_40_5_Gap,38671,44207,60.32494688,14.31563704,Large
VFR700_40_6_Gap,38710,44203,58.51778698,14.19013175,Large
VFR700_40_7_Gap,38585,43966,59.1993711,13.94583387,Large
VFR700_40_8_Gap,39059,44300,58.74749899,13.41816227,Large
VFR700_40_9_Gap,38814,44132,58.32378602,13.70124182,Large
VFR700_60_10_Gap,41377,47073,86.82433176,13.76610194,Large
VFR700_60_1_Gap,41436,47385,86.92295909,14.3570808,Large
VFR700_60_2_Gap,41375,47081,85.97841716,13.79093656,Large
VFR700_60_3_Gap,41317,47032,86.03457189,13.83207881,Large
VFR700_60_4_Gap,41401,47063,87.15873122,13.67599816,Large
VFR700_60_5_Gap,41262,47084,86.80229616,14.10983471,Large
VFR700_60_6_Gap,41340,47082,86.43624616,13.88969521,Large
VFR700_60_7_Gap,40876,46850,86.36311197,14.61493297,Large
VFR700_60_8_Gap,41474,47391,86.33522201,14.26676954,Large
VFR700_60_9_Gap,41291,47091,87.45185328,14.04664455,Large
VFR800_20_10_Gap,41574,45848,35.6822629,10.28046375,Large
VFR800_20_1_Gap,41558,45749,34.91522598,10.0847009,Large
VFR800_20_2_Gap,41407,45834,34.24253416,10.69142899,Large
VFR800_20_3_Gap,41425,45922,34.98126006,10.85576343,Large
VFR800_20_4_Gap,41426,45902,34.94605899,10.80480857,Large
VFR800_20_5_Gap,41710,46044,33.81662893,10.39079357,Large
VFR800_20_6_Gap,42010,46123,35.51359701,9.790526065,Large
VFR800_20_7_Gap,41425,45546,36.48802304,9.948098974,Large
VFR800_20_8_Gap,41492,45398,33.82421613,9.413862913,Large
VFR800_20_9_Gap,41796,45594,35.02139711,9.086993971,Large
VFR800_40_10_Gap,43861,49765,67.96033812,13.46070541,Large
VFR800_40_1_Gap,43671,49512,68.00321794,13.37500859,Large
VFR800_40_2_Gap,43746,49535,71.40525198,13.23320989,Large
VFR800_40_3_Gap,43749,49733,69.15650487,13.67802693,Large
VFR800_40_4_Gap,43892,49522,68.30087686,12.82693885,Large
VFR800_40_5_Gap,43905,49613,68.69545984,13.00079718,Large
VFR800_40_6_Gap,43811,49752,68.43556499,13.56052133,Large
VFR800_40_7_Gap,43766,49686,69.1978929,13.52648174,Large
VFR800_40_8_Gap,43839,49637,68.78626513,13.22566664,Large
VFR800_40_9_Gap,43879,49744,68.89411092,13.36630279,Large
VFR800_60_10_Gap,46244,52653,101.6120284,13.85909523,Large
VFR800_60_1_Gap,46470,52850,97.89955306,13.72928771,Large
VFR800_60_2_Gap,46493,53068,96.9858222,14.14191384,Large
VFR800_60_3_Gap,46389,52693,98.18951511,13.58942853,Large
VFR800_60_4_Gap,46457,52919,97.34786272,13.90963687,Large
VFR800_60_5_Gap,46401,52799,98.86916995,13.78849594,Large
VFR800_60_6_Gap,46421,52947,98.66974902,14.05829258,Large
VFR800_60_7_Gap,46319,52759,98.73620296,13.90358168,Large
VFR800_60_8_Gap,46474,52907,104.781734,13.8421483,Large
VFR800_60_9_Gap,46538,53050,101.711664,13.99286604,Large
